"category","news_link","title","description","time"
"Business","https://www.thedailystar.net/business/news/structural-weaknesses-poor-governance-plague-economic-reform-debapriya-3898081","Structural weaknesses, poor governance plague economic reform: Debapriya","Despite some signs of economic stabilisation, such as a slight easing of inflation and efforts to keep the foreign exchange market stable, Bangladesh's broader economic reform trajectory is hampered by structural weaknesses and governance shortcomings, said Debapriya Bhattacharya, the convenor of Citizen's Platform for SDGs,Bangladesh and distinguished fellow at the Centre for Policy Dialogue (CPD) today. ""We're not seeing the kind of structural transformation or reduction in anti-equity bias that would signal a meaningful shift in economic management,"" he said. He made the remarks at an event titled ""Bangladesh Economy 2025-26: Policy Reform and National Budget"", organised by the Citizens' Platform for SDGs, Bangladesh, held at the Lakeshore Hotel in Dhaka. He said that the government has paid little attention to economic reforms compared to other types of reform. ""If there is no stability in the economy, no other reform will be sustainable,"" he said. Bhattacharya also pointed out that the upcoming budget for FY26 would be shaped by three key deficits: a lack of cooperation and inclusivity, poor coordination, and limited transparency. ""There has been minimal public engagement in the budget-making process. We saw no real dialogue outside Dhaka, nor substantial inclusion of diverse groups even within the capital,"" he said. On the issue of separating tax policy from administration, Bhattacharya said the reform initiatives should involve broader consultations with multiple stakeholders and be carried out transparently. ""The decision to divide it into two divisions is the right one, and it was also one of the recommendations in our white paper,"" he said. ""However, the way it has been implemented is not appropriate. It was done without proper consultation, by shrinking the space for professionals and increasing control over other administrative areas."" ""This approach is flawed, and implementing the reform properly has now become a matter of significant importance."" He added that the ongoing pen-down strike by NBR officials may further affect overall revenue collection.","Mon May 19, 2025 12:17 PM         Last update on: Mon May 19, 2025 12:46 PM"
"Business","https://www.thedailystar.net/business/news/unemployment-rises-further-oct-dec-2024-3898031","Unemployment rises further in Oct-Dec 2024","Bangladesh's unemployment rate increased to 4.63 percent in the second quarter of fiscal year 2024-25, as a growing number of job seekers failed to secure employment, according to the latest Quarterly Labour Force Survey (QLFS) data. The jobless rate stood at 3.95 percent in the fourth quarter of 2023, the Bangladesh Bureau of Statistics (BBS) said yesterday. In the July-September quarter of fiscal year 2024-25, the unemployment rate was 4.49 percent, as economic activity nearly came to a halt amid a mass uprising that led to the ouster of the Sheikh Hasina regime and subsequent labour unrest in major industrial areas of Dhaka. The number of unemployed people was 2.66 million during the third quarter. This figure rose to 2.73 million in the October-December period, the BBS said. With this, the number of unemployed people rose to 2.7 million in 2024, up from 2.55 million the previous year. The overall unemployment rate last year was 4.48 percent, compared to 4.15 percent in 2023. The latest QLFS data also showed that the labour force participation rate declined in the fourth quarter of 2024 and throughout the year, mainly due to reduced participation of women in the workforce. In the October-December quarter of 2024, the labour force participation rate dropped to 48.41 percent from 50.27 percent a year earlier. During the full year, the labour force participation rate was 49.49 percent, compared to 50.92 percent in 2023. According to the BBS, of the 58.93 million people in the workforce in the fourth quarter of last year, 56.2 million were employed, a decline compared to the same period a year earlier.","Mon May 19, 2025 11:20 AM         Last update on: Mon May 19, 2025 12:53 PM"
"Business","https://www.thedailystar.net/business/news/strained-ties-non-tariff-barriers-and-the-future-bangladesh-india-trade-relations-3898036","Strained ties: non-tariff barriers and the future of Bangladesh-India trade relations","The trade relationship between Bangladesh and India has long been based on mutual dependence and cooperation. Their geographic closeness, economic links, and cross-border connectivity make this partnership strategically important. However, some recent policy decisions and reactions from both sides have raised serious concerns. Especially, the imposition of non-tariff barriers is creating new problems. These affect not only trade but also trust and regional stability. India has suddenly restricted certain Bangladeshi consumer goods—like fruit juice, processed foods, plastic items, and garments—through land ports in its northeast. In recent times, Bangladesh also imposed restrictions on importing Indian yarn through specific land ports. Though these are not direct tariff hikes, they work as port restrictions and certainly non-tariff barriers; they limit trade routes and make business operations harder. The withdrawal of transhipment facilities by India for Bangladesh has added more pressure. Importantly, India—including its northeast—is a valuable market for Bangladesh. There is steady demand there for Bangladeshi garments, food products, and plastics. These goods had long entered India by land without any major issues. Sudden limits now increase costs and hurt small and medium businesses near the border. Garments, a major export item for Bangladesh, may now rely on distant sea ports like Kolkata or Nhava Sheva. This raises transport costs, delays shipments, and hurts competitiveness. At the same time, Bangladesh depends on Indian yarn, a key raw material for its textile and garment industries. Any import barriers raise production costs and disrupt the local industry. Sudden, one-sided decisions harm both countries' industries and weaken the trust built over time. While each country has the right to control its trade, stability, prior notice, and reasonable coordination are essential in policymaking. Sudden trade barriers bring uncertainty for businesses and hurt the region's trade system. Long-established supply chains may break down. Such actions also risk damaging bilateral trust and cooperation. What's most needed now is a shift in mindset. These issues shouldn't be seen as rivalry or punishment. Instead, both countries should work together to find solutions. Both sides support regional unity, cross-border trade, and economic growth. So, the impact of non-tariff measures must be reviewed and reconsidered quickly. Governments, policymakers, trade bodies, and the private sector must strengthen dialogue to prevent future crises. A sustainable, inclusive, and streamlined trade framework is needed—one that reduces sudden disruptions and builds stronger business ties. Trade between Bangladesh and India is not just about their economic interests. It's vital for South Asia's unity, stability, and progress. This trade and business relationship must not weaken due to non-tariff barriers, lack of coordination, or reactive policies. The right path forward lies in dialogue, understanding, and long-term cooperation.","Mon May 19, 2025 11:29 AM         Last update on: Mon May 19, 2025 12:51 PM"
"Business","https://www.thedailystar.net/business/news/stocks-down-early-trading-3898061","Stocks down in early trading","Indices on the Dhaka Stock Exchange declined in the morning trade today, extending their losses for the second consecutive day. The DSEX, the benchmark index of the premier bourse, lost 3.18 points, or 0.06 percent, to 4,787.90 as of 11:48 am. The Shariah-compliant DSES index declined 0.05 percent to 1,045.61, while the DS30, which represents blue-chip stocks, slumped 0.29 percent to 1,775.04. Turnover, a key indicator of market activity, stood at Tk 111.49 crore during the session. Of the issues traded, 148 advanced, 152 declined, and 82 remained unchanged. Sonargaon Textiles posted the highest gain, rising more than 9 percent, while  Midland Bank registered the biggest loss, dropping 6 percent.","Mon May 19, 2025 11:52 AM         Last update on: Mon May 19, 2025 11:54 AM"
"Business","https://www.thedailystar.net/business/news/chinas-xiaomi-invest-nearly-7-bn-chips-3898101","China's Xiaomi to invest nearly $7 bn in chips","Chinese tech giant Xiaomi will invest 50 billion yuan ($6.9 billion) in developing high-end smartphone chips, the firm's founder said on Monday. Xiaomi, which sells goods from smartphones to vacuum cleaners and EVs, is one of China's most prominent consumer electronics firms. Writing on social media platform WeChat to mark the 15th year since the company's establishment, Lei Jun said: ""chips are the underlying core track for Xiaomi to break through in cutting-edge technology, so we will definitely make an all-out effort"". In pursuit of Xiaomi's semiconductor ambitions, the firm has developed an investment plan involving ""at least 10 years of investment and at least 50 billion yuan"", Lei added. Xiaomi took initial steps into semiconductors for smartphones with the launch of the firm's first in-house chip -- the Surge S1 -- in 2017. But the group was forced to halt production of the chip due to technical and financial obstacles, and has since refocused on other components as well as a move into the electric vehicle sector. ""That is not our 'dark history'. That is the path we have travelled,"" wrote Lei on Monday. Since 2021, Xiaomi's chip development program has already received 13.5 billion yuan in research and development funds for a team of more than 2,500 employees, said the billionaire entrepreneur. The announcement comes in the face of heightened technological tensions between Beijing and Washington as both nations seek to ensure access to the most advanced components. A number of Chinese firms are racing to develop their own chips with the aim of freeing themselves from reliance on foreign suppliers in the face of that rivalry. ""Xiaomi has always had a 'chip dream',"" Lei wrote, adding: ""I earnestly request everyone to give us more time and patience to support our continued exploration on this road"".","Mon May 19, 2025 12:56 PM         Last update on: Mon May 19, 2025 01:00 PM"
"Business","https://www.thedailystar.net/business/news/asian-markets-drop-after-us-loses-last-triple-credit-rating-3898066","Asian markets drop after US loses last triple-A credit rating","Asian stocks fell with the dollar Monday after Moody's removed the United States' last gold standard sovereign bond rating, citing the growing debt pile that it warned could balloon further. The move dealt a blow to markets, which had enjoyed a healthy run-up last week after Washington and China hammered out a deal to temporarily slash tit-for-tat tariffs, dialling down the tensions in a painful trade war between the superpowers. After the rout sparked by US President Donald Trump's Liberation Day tariffs bazooka, investors have in recent weeks raced back to buy up beaten-down stocks as the White House tempered its hardball tariff approach and then announced the agreement with China. But selling pressure returned Monday after Moody's cut its rating on US debt to Aa1 from Aaa, noting ""the increase over more than a decade in government debt and interest payment ratios to levels that are significantly higher than similarly rated sovereigns"". It added that it expected federal deficits to widen to almost nine percent of economic output by 2035, up from 6.4 percent last year, ""driven mainly by increased interest payments on debt, rising entitlement spending, and relatively low revenue generation"". Analysts said the cut in the gold standard rating -- which follows S&P in 2011 and Fitch in 2023 -- could indicate investors will want higher yields on Treasuries, pushing up the cost of government debt. Still, Treasury Secretary Scott Bessent dismissed the announcement, saying it was ""a lagging indicator"" and blaming Trump's predecessor Joe Biden. ""We didn't get here in the past 100 days,"" he told CNN. ""It's the Biden administration and the spending that we have seen over the past four years that we inherited, 6.7 percent deficit-to-GDP, the highest when we weren't in a recession, not in a war."" And White House communications director Steven Cheung hit out at Moody's Analytics on X, singling out its chief economist Mark Zandi. ""Nobody takes his 'analysis' seriously. He has been proven wrong time and time again,"" Cheung posted. The news added to a frustrating time for the US president after Congress failed to pass his ""big, beautiful bill"" to extend tax cuts passed in his first term and impose new restrictions on welfare programmes. Independent congressional analysts say the package would add more than $4.8 trillion to the federal deficit over the coming decade. The bill came up short in a key vote owing to opposition from several Republican fiscal hawks. Republican congressman French Hill, who chairs the House Financial Services Committee, said the downgrade ""is a strong reminder that our nation's fiscal house is not in order"". House Speaker Mike Johnson told ""Fox News Sunday"" that he plans for a floor vote on the package by the end of the week. Equities in Hong Kong and Shanghai fell as below-forecast Chinese retail sales figures reinforced the view that the world's number two economy continues to struggle even after officials unveiled fresh stimulus measures. However, factory output picked up more than expected. Tokyo, Sydney, Seoul, Singapore, Wellington, Taipei and Jakarta all fell, while US futures were also well down. The dollar was also down against its peers. Gold recovered some recent losses owing to its safe haven appeal, rising to $3,225 per ounce. Still, National Australia Bank's Ray Attrill said: ""Moody's actions will have zero impact on any investor's ability or willingness to continue holding US Treasuries -- that would likely require downgrades of four or five more notches."" And SPI Asset Management's Stephen Innes said investors would be more interested in upcoming data that would provide a better idea about the state of the world's top economy. ""Moody's may have dropped the mic, but for equity traders, the real test this week will be Main Street,"" he wrote in a note. ""We're heading into a make-or-break retail earnings slate -- Target, Home Depot, Lowe's, TJX, Ralph Lauren all report -- and this is where tariff theory collides with checkout-line reality. ""Yes, the S&P has clawed back 18 percent since the 'Liberation Day' tariff blitz, but the consumer has been the market's unsung hero. Now they're about to be audited."" He said the ""downgrade is more psychological than mechanical"".","Mon May 19, 2025 11:58 AM         Last update on: Mon May 19, 2025 12:03 PM"
"Business","https://www.thedailystar.net/business/news/high-inflation-costly-loans-force-firms-cut-spending-3897896","High inflation, costly loans force firms to cut spending","From mild steel rods to electronics and food products, advertisements in newspapers and on televisions have decreased as businesses say they have tightened their belts to weather stubbornly high inflation, the steep devaluation of the local currency, and punishingly high bank interest rates. Besides, some manufacturers say they are now opting to reduce office utility consumption, optimise office supplies, minimise bank dependence, and find alternative funding sources. Others are taking a closer look at operational expenses, trimming excess spending, and trying to get the maximum output with limited resources. ""The situation is really difficult,"" said Md Nurul Afsar, deputy managing director of Electro Mart Group, a manufacturer and marketer of electronics and home appliances. In recent months, Electro Mart has scaled back its promotional activities, including newspaper and television ads, as part of a cost-cutting strategy. Despite mounting financial pressures, the company has refrained from raising product prices, fearing that such a move could impact sales amid the inflationary pinch. ""Instead, we are focusing on cost-effective measures,"" said Afsar. The top executive said that the company is being squeezed by bank interest rates as high as 17 percent, severely impacting profit margins. Three years ago, banks used to charge single-digit interest on loans, exchange rates were around Tk 80, and inflation was roughly 6–7 percent. ""Due to the high interest rates over the previous years, our business margins have shrunk significantly. We are trying to cut unnecessary expenses wherever possible to absorb the extra burden,"" he told The Daily Star. This effort includes limiting utility usage, optimising office supplies, and cutting down on non-essential expenditures. ""We are reducing costs across all minor areas of daily office expenses — wherever there is room to save,"" he said. Similarly, BSRM Steels Limited is adopting a number of cost-cutting measures to cope with rising bank interest rates and brutal inflation, said Tapan Sengupta, the company's deputy managing director. ""We are trying to manage the impact of high bank interest and inflation by cutting costs in every area and making optimal use of technology,"" Sengupta told The Daily Star. According to him, the steelmaker is focusing on cost efficiency by trimming daily expenses while ensuring employee salaries remain unaffected. ""We are only spending on cost-effective areas that provide value for money. For instance, our marketing budget has been scaled back,"" he said. However, avoiding high bank interest is not feasible, as borrowing is essential for business investment, he mentioned. ""There is no escaping bank interest rates. Borrowing to run the business is a necessary part of investment, so the high rates must be managed,"" he added. Meanwhile, leading conglomerate PRAN-RFL Group is trying to reduce its reliance on bank loans to minimise the impact. ""We have had to cut down on bank borrowing, reduce costs, and think outside the box just to survive,"" said Ahsan Khan Chowdhury, the group's CEO. ""Doing business in this climate has become extremely challenging."" According to him, the company has focused on lowering production costs, reducing dependency on bank financing, and exploring alternative sources of funds. ""Our employees have been working tirelessly, and we are continuously applying innovative approaches to control costs and improve efficiency,"" he said. Chowdhury said that the fight against red-hot inflation by raising bank interest rates over the past two years has severely hurt small and medium enterprises. Meanwhile, Anwar-ul-Alam Chowdhury Parvez, president of the Bangladesh Chamber of Industries (BCI), said soaring utility bills are further compounding the challenges for businesses. Regarding the small and medium business segment, Parvez said that gas and electricity price hikes have pushed up production costs, while high bank interest rates are making it nearly impossible for them to survive. Given such conditions, domestic producers are being forced to raise prices, directly burdening consumers already struggling with high living costs, he added. As a result, sales and profit margins have plummeted compared to last year, a trend clearly reflected in the quarterly reports of listed companies. ""If listed firms are struggling this much, one can only imagine the plight of unlisted ones,"" Parvez added. Citing a recent BCI assessment of the business environment under the current political context, Parvez cautioned of deep stagnation without urgent policy actions.","Mon May 19, 2025 12:00 AM         Last update on: Mon May 19, 2025 12:35 PM"
"Business","https://www.thedailystar.net/business/bangladesh-budget-2025-26/news/10-segments-get-52-adp-3897776","10 segments to get 52% of ADP","As much as 52 percent of the Tk 2,30,000 crore annual development programme (ADP) for the upcoming fiscal year will be spent on just 10 key segments, including government buildings, electrification, land acquisition and infrastructure. For the first time, the planning ministry has used a digital budget planning system to categorise spending based on economic codes, allowing for more transparent tracking of fund utilisation, according to a presentation made by the planning ministry during yesterday's National Economic Council meeting. The development budget for fiscal 2025-26 was approved at the meeting chaired by Chief Adviser Muhammad Yunus. Under the digital budget planning method, the allocations will be tracked and implemented through the iBAS++ system, ensuring code-based expenditure. According to the planning ministry, Tk 28,018 crore will be spent only for non-residential government buildings and another Tk 9,016 crore will be spent for residential buildings under all the ministries and divisions. In addition, the segment of other buildings and establishments would cost Tk 6,917 crore. About Tk 16,073 crore would be spent on the buildings' electrification. Another Tk 15,828 crore will be spent on land acquisition for various projects. Some Tk 6,505 crore would be spent to build bridges and Tk 6,473 crore for dams. Another Tk 17,358 crore would be spent on building roads and highways, while rural roads will cost another Tk 9,021 crore. The government has allocated Tk 9,627 crore for research and development purposes. Next fiscal year's ADP is Tk 14,000 crore more than the revised allocation for this year. Of the total, Tk 144,000 crore will come from domestic resources -- lower than the Tk 1,59,000 crore sought by ministries -- while foreign funding remains unchanged at Tk 86,000 crore. Both figures reflect year-on-year declines of 12.7 percent and 14 percent respectively. State-owned enterprises have been allocated Tk 8,000 crore, nearly half of their original outlay in the current year. The government has allocated 70 percent of the ADP budget to five sectors: the transport and communication (Tk 58,973 crore), power and energy (Tk 32,392 crore), education (Tk 28,557 crore), housing and community (Tk 22,776 crore) and health (Tk 18,148 crore). Among the government's ministries and divisions, the top 10 ministries got 74 percent of the total ADP allocation in the upcoming fiscal year. The local government division got the highest allocation (Tk 36,098 crore), followed by the road transport and highways (Tk 32,329 crore), power division (Tk 20,283 crore), secondary and higher education division (Tk 13,625 crore), science and technology ministry (12,154 crore) and health service division (Tk 11,617 crore). ""It will be a budget for restoring discipline in the financial sector,"" said Planning Adviser Wahiduddin Mahmud after the meeting. Though the budget size would be relatively small, it is designed to restore economic stability, control inflation and reintroduce discipline and sustainability in budget management. ""Our objective is to avoid falling into a debt trap, where a significant portion of the budget is consumed by loan repayments -- be it operating costs or interest payments."" To break this vicious cycle, revenue must be increased, but expenditure must also remain limited. ""We aim to keep the budget deficit below 4 percent of total GDP."" Education and health have received special attention in the budget. The development budget for the two sectors would not increase, but the revenue budget would increase to accommodate teachers' higher salaries and the appointment of 2,500 new health workers, including doctors. ""In the health sector, despite many facilities being built, many are non-operational due to a lack of doctors or equipment. So instead of more infrastructure, we are focusing on operating these through the revenue budget,"" he said. The government will increase allocation so that the non-government teachers' outstanding retirement benefits and welfare payments that have been pending for the last 5–6 years can be cleared immediately. No long-term mega projects are being included in the development budget. Although this year's development budget is smaller in nominal terms than last year's proposed budget, it is more realistic, he said. ""There was a lot of waste and inefficiency. We are now streamlining, downsizing and redesigning to reduce costs."" The budget would be announced on June 2, when the tax measures of the budget become effective immediately. As there is no parliament existing now, there will be windows for tax measures' corrections until the Finance Bill is announced through ordinances.","Mon May 19, 2025 12:14 AM         Last update on: Mon May 19, 2025 11:14 AM"
"Business","https://www.thedailystar.net/business/news/nbr-may-continue-prospective-tax-system-till-fy28-3897891","BUDGET FY26 / NBR may continue prospective tax system till FY28","The National Board of Revenue (NBR) is expected to continue the prospective tax system until fiscal year 2027-28, allowing taxpayers and businesses to determine applicable tax rates in advance instead of waiting until the end of the income year. Starting with the national budget for FY25, the government shifted from a retrospective to a prospective tax regime, aiming to support better investment and tax planning. Under the traditional retrospective system, the NBR announced tax rates for firms and individuals only after the completion of an income year. For instance, the current income year runs from July 2024 to June 2025. Under the earlier system, taxpayers would file their income and wealth statements and pay taxes for the assessment year, in this case FY25, in the following year, based on rates announced after the income year ended. However, under the prospective system, individuals and businesses can calculate their tax liabilities for the income year in advance and pay taxes by the end of the same income year. The NBR is expected to adopt the prospective system in response to longstanding taxpayer demands, a finance ministry official, requesting anonymity, told The Daily Star recently. ""After FY25 and FY26, we are planning to introduce it for another two years. We are working on it,"" the official said. He added that this system would help build confidence among individuals and investors by allowing them to plan their tax management and investment plans. On May 15, Finance Adviser Salehuddin Ahmed gave the nod to the proposal, which may be presented to Chief Adviser Prof Muhammad Yunus today, the official said. Investors and tax analysts welcomed the NBR's move, saying it would boost investor confidence and encourage local and foreign investment. ""If it truly happens, this will be wonderful news indeed,"" said Zaved Akhtar, president of the Foreign Investors' Chamber of Commerce and Industry (FICCI). ""It helps businesses plan better and ensure business plans reflect realities,"" he said. ""There are no sudden surprises. I am hoping that prospective tax visibility also helps in reducing the effective tax rates as well,"" added Zaved, also the chairman and managing director of Unilever Bangladesh Limited. According to Zaved, it was previously quite difficult to assess a year's tax using rates announced at the end of the income year, as companies had already closed their books and, in many cases, disbursed dividends. ""Knowing future tax rates reduces uncertainty, enabling more confident decisions about savings, investments, and debt management,"" said Snehasish Barua, managing director of SMAC Advisory Services. A clearer understanding of upcoming tax obligations empowers individuals and businesses to plan their long-term finances more effectively, he said. Barua added that it also allows for proactive planning that can yield significant tax savings. However, in Bangladesh, simply knowing the rates in advance may not benefit taxpayers if the rates are not rationalised and the effective tax rates remain higher than the statutory rates. Mohammed Humayun Kabir, vice-president of the South Asian Federation of Accountants, also welcomed the move. ""This policy continuation will work as a positive initiative for attracting local and foreign investors,"" he said. If the country can draw investment, it will positively impact employment generation, Kabir added. Kabir, also a former president of the Institute of Chartered Accountants of Bangladesh, hoped the NBR would continue this policy even after FY28. Currently, Bangladesh has nearly 1.13 crore Taxpayers' Identification Number (TIN) holders. However, around 60 percent of those taxpayers did not submit returns in the current fiscal year.","Mon May 19, 2025 12:00 AM         Last update on: Mon May 19, 2025 10:04 AM"
"Business","https://www.thedailystar.net/business/news/trust-banks-q1-profit-drops-8-3897441","Trust Bank’s Q1 profit drops 8%","Trust Bank PLC reported a fall in profit for the first quarter of 2025, as rising expenses dented its earnings. The bank's profit declined by 8 percent year-on-year to Tk 29.37 crore, according to its financial statement. Meanwhile, the bank's annual profit dropped by 11 percent year-on-year to Tk 372.31 crore in 2024. Its earnings per share (EPS) declined to Tk 0.32 in the January-March period from Tk 0.35 in the same period a year earlier. The bank attributed the fall in EPS to an increase in expenses.  Its earnings per share (EPS) declined to Tk 0.32 in the January-March period from Tk 0.35 in the same period a year earlier  Its net operating cash flow per share (NOCFPS) rose to Tk 13.82 from Tk 7.10 in the same quarter last year. The increase in NOCFPS was driven by higher deposits from customers and a reduction in loans and advances, the bank said in the financial statement. Trust Bank saw significant growth in its income from investments, which surged 91 percent year-on-year to Tk 313.26 crore in the first quarter, mainly due to increased investments in treasury bills and bonds. Its commission, exchange and brokerage income rose by 25 percent year-on-year to Tk 96.99 crore, supported by higher exchange gains on foreign currencies, as per the financial statement. Trust Bank's provisions against loans and advances and other accounts stood at Tk 214.70 crore, up 7 percent from the same quarter a year ago, owing to a rise in classified loans. The bank also said that its current tax expenses increased due to higher operating profit. As of April 3, 2025, sponsor-directors held 60 percent of the bank's shares, institutional investors 22.24 percent, foreign investors 0.02 percent and general investors 17.14 percent, according to Dhaka Stock Exchange data. Trust Bank, operating since 1999, is sponsored by the Army Welfare Trust. It operates 119 branches and SME centres and eight sub-branches throughout the country, as per its website.","Mon May 19, 2025 12:09 AM         Last update on: Mon May 19, 2025 04:25 AM"
